Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.04.10,00:00,1,1,GWF,2,459.26,m^3,volume,instant.,0,0,0
01.04.10,00:00,1,1,GWF,3,454.22,m^3,volume,instant.,1,0,0
01.04.10,00:00,1,1,GWF,4,31,°C,flow temperature,instant.,0,0,0
01.04.10,00:00,1,1,GWF,5,31,°C,return temperature,instant.,0,0,0
01.04.10,00:00,1,1,GWF,6,0.5,K,temperature difference,instant.,0,0,0
01.04.10,00:00,1,1,GWF,7,2535,hours,on time,instant.,0,0,0
01.04.10,00:00,1,1,GWF,8,2535,hours,operating time,instant.,0,0,0
01.04.10,00:00,1,1,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.04.10,00:00,1,1,GWF,10,0,kW,power,instant.,0,0,0
01.04.10,00:00,1,1,GWF,11,31.03.10 23:51 Win  V,,time point,instant.,0,0,0
01.04.10,00:00,1,1,GWF,12,992,HCA,HCA-Unit,instant.,1,0,0
01.04.10,00:00,1,1,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.04.10,00:00,1,1,GWF,14,0,kWh,energy,instant.,0,1,0
01.04.10,00:00,1,1,GWF,15,0,m^3,volume,instant.,0,1,0
01.04.10,00:00,1,1,GWF,16,0,m^3,volume,instant.,1,1,0
01.04.10,00:00,1,1,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.04.10,00:00,1,1,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.04.10,00:00,1,1,GWF,19,00.00.00,,time point,instant.,0,1,0
01.04.10,00:00,1,1,GWF,20,$00,,M-Bus state,,,,
01.04.10,00:00,2,4,GWF,1,3354,kWh,energy,instant.,0,0,0
01.04.10,00:00,2,4,GWF,2,392.49,m^3,volume,instant.,0,0,0
01.04.10,00:00,2,4,GWF,3,387.04,m^3,volume,instant.,1,0,0
01.04.10,00:00,2,4,GWF,4,30,°C,flow temperature,instant.,0,0,0
01.04.10,00:00,2,4,GWF,5,33,°C,return temperature,instant.,0,0,0
01.04.10,00:00,2,4,GWF,6,0,K,temperature difference,instant.,0,0,0
01.04.10,00:00,2,4,GWF,7,2534,hours,on time,instant.,0,0,0
